OBJECTID,GEOID10,employment,MBG_Diamet,trtID,res_worker,Shape_Length,Shape_Area
87,22033004402,1165.000000000000000,8093.372797959999800,87,2770.000000000000000,22931.927169171264000,25924605.145447314000000
88,22033004403,480.000000000000000,8413.327406640000800,88,2650.000000000000000,27458.083583651140000,27778145.686580524000000
89,22033004503,1850.000000000000000,6988.500904000000400,89,2590.000000000000000,17820.950188328974000,11250001.844308130000000
90,22033004504,1500.000000000000000,4513.449954849999800,90,3245.000000000000000,12412.300159779963000,7039788.566465459800000
91,22033004505,2260.000000000000000,7304.316282890000400,91,3175.000000000000000,22623.653704046883000,13840957.563900730000000
92,22033004507,675.000000000000000,3485.077548000000200,92,2765.000000000000000,9189.664674758363600,4192925.677915222000000
93,22033004508,400.000000000000000,4621.440538230000100,93,4235.000000000000000,13633.628949648846000,8319634.454239065800000
94,22033004509,3900.000000000000000,8613.948104959999900,94,3750.000000000000000,19984.176496562675000,10955008.783101995000000
95,22033004510,395.000000000000000,12151.842518900001000,95,3395.000000000000000,37244.607264514845000,37927383.687100500000000
96,22033004602,3955.000000000000000,13722.884216400000000,96,2350.000000000000000,33349.099050343604000,53571561.026712969000000
97,22033004603,2110.000000000000000,17532.770681700000000,97,2025.000000000000000,50025.917688715548000,138621204.223127220000000
98,22033004604,1530.000000000000000,11978.450791200001000,98,5415.000000000000000,32879.273494763489000,43911120.844317235000000
99,22033004700,395.000000000000000,25905.702486999999000,99,2900.000000000000000,79803.365328965752000,211491229.334090170000000
100,22033004800,905.000000000000000,2296.878000700000000,100,1885.000000000000000,6243.338830657693500,2191354.118787093100000
101,22033004900,1130.000000000000000,3675.138995759999900,101,2555.000000000000000,9708.448314851262700,4859566.609037280100000
102,22033005000,360.000000000000000,2901.496201689999900,102,1575.000000000000000,8312.841713028590700,3578353.165631545700000
103,22033005100,18290.000000000000000,3935.409175020000000,103,1320.000000000000000,10766.079607288359000,5953686.214014455700000
104,22033005200,6565.000000000000000,2529.947502749999800,104,725.000000000000000,7503.020082536513700,2626830.591412945700000
105,22033005300,7130.000000000000000,2412.979168630000000,105,1175.000000000000000,6779.029091874707800,2646030.126897370900000
106,22033980000,0.000000000000000,2852.473866410000000,106,0.000000000000000,8585.269891949867100,3140042.174093348400000
107,22037951300,45.000000000000000,35770.503697499997000,107,1295.000000000000000,109169.213897611250000,377987197.633818030000000
108,22037951400,220.000000000000000,18472.280967200000000,108,1300.000000000000000,67239.762913321043000,152611603.026346330000000
109,22037951501,55.000000000000000,17644.802769200000000,109,465.000000000000000,52031.472053237492000,57354597.933016345000000
110,22037951502,170.000000000000000,26742.738676500001000,110,2115.000000000000000,95372.940011624101000,250526001.231494190000000
111,22037951600,470.000000000000000,27954.319172600000000,111,2125.000000000000000,100405.078969531530000,342056078.572712300000000
112,22047952600,55.000000000000000,29216.512737500001000,112,1430.000000000000000,79157.709866141377000,231071220.306926640000000
113,22047952700,1705.000000000000000,48538.076010500001000,113,2865.000000000000000,128680.211869875550000,559842651.072168590000000
114,22047952900,405.000000000000000,38110.860846500000000,114,2120.000000000000000,138897.487764123830000,481441304.763782860000000
115,22047953000,185.000000000000000,27663.805935699998000,115,745.000000000000000,83818.979764350559000,221297285.936477360000000
116,22047953101,975.000000000000000,4395.378164830000100,116,2455.000000000000000,12680.202384816850000,8990451.663767561300000
117,22047953102,840.000000000000000,13322.741758400000000,117,1295.000000000000000,33770.554203491818000,35335450.366047747000000
118,22047953200,1515.000000000000000,21855.245763100000000,118,1540.000000000000000,70610.288328702416000,152626194.559425440000000
119,22063040100,1545.000000000000000,21990.023276600001000,119,3540.000000000000000,73687.214336967983000,171310455.957591090000000
120,22063040201,1455.000000000000000,27586.394018499999000,120,2355.000000000000000,71165.084190195892000,147281717.416725070000000
121,22063040202,965.000000000000000,31265.890497000000000,121,1760.000000000000000,107443.041321731010000,255291685.212073360000000
122,22063040301,1000.000000000000000,17639.423017199999000,122,3950.000000000000000,62806.149797104976000,67685743.885135561000000
123,22063040303,520.000000000000000,8169.457060839999900,123,5125.000000000000000,24063.980452048159000,24394728.799264777000000
124,22063040304,290.000000000000000,8991.980081649999200,124,2500.000000000000000,27966.937494026311000,35583427.003825881000000
125,22063040401,1240.000000000000000,8579.742086109999900,125,2680.000000000000000,23713.543606572803000,20055106.315776512000000
126,22063040402,2040.000000000000000,12204.835598300000000,126,3380.000000000000000,32232.781276635818000,43150927.227665059000000
127,22063040500,1925.000000000000000,11295.558762400000000,127,4975.000000000000000,42599.980039132533000,39895957.055719137000000
128,22063040600,5400.000000000000000,6926.660370620000300,128,4420.000000000000000,18769.158661447731000,12196577.292169997000000
129,22063040700,3235.000000000000000,7185.266263260000400,129,1775.000000000000000,20165.963324403328000,11450564.085445777000000
130,22063040802,425.000000000000000,20208.903546099998000,130,2400.000000000000000,74769.912975912899000,159164924.826287960000000
131,22063040804,765.000000000000000,14948.438733800000000,131,5870.000000000000000,44759.438738584126000,104104416.043533610000000
132,22063040805,1035.000000000000000,6038.334050960000200,132,2650.000000000000000,16433.627822703602000,11564829.482809152000000
133,22063040806,870.000000000000000,18187.816356399999000,133,3245.000000000000000,58367.274215527919000,71316908.692156404000000
134,22063040901,660.000000000000000,24683.801579999999000,134,2385.000000000000000,94440.860877266183000,234638620.234386800000000
