OBJECTID,AREA,TAZ,POPU,WORK,EMP,Length
433,24712.56,54A,0,0,86,633.39
434,35385.67,56,0,0,255,777.04
435,82205.45,66,6,6,1948,1177.59
436,21677.17,51,0,0,128,594.66
437,54740.18,67,0,0,584,1012.45
438,48099.59,65,720,0,1513,941.56
439,13281.26,55,0,0,2,478.02
440,23714.46,52,0,0,511,616.25
441,12334.81,5107A,0,0,137,475.98
442,102216.66,47,304,50,642,1296.97
443,295764.51,8,0,0,455,2398.58
444,8204.69,6A,0,0,8,405.99
445,56864.33,6,0,0,218,1031.99
446,114134.66,9,0,0,600,1540.13
447,46399.7,16,0,0,320,1265.56
448,69438.07,42,23,0,1486,1087.57
449,55965,17,0,0,98,1074.07
450,64787.87,18,14,14,994,1107.75
451,33864.11,24,0,0,2021,756.93
452,37230.63,20,0,0,190,808.74
453,22575.97,21,0,0,2979,594.86
454,52029.42,19,114,34,3998,967.12
455,23477.58,22,0,0,2025,619.48
456,40568.02,23,0,0,5736,803.89
457,82432.76,43,137,66,2331,1449.77
458,108042.11,15,0,0,535,1388.7
459,10058.28,16A,0,0,42,464.36
460,189269.83,4102,0,0,816,1768.68
461,215830.37,4103,844,212,70,1848.34
462,130626.28,3124,586,214,137,1472.07
463,66121.42,3135,330,45,26,1184.93
464,111902.26,3137,299,72,30,1386.71
465,108172.31,3101,272,36,28,1373.35
466,37276.66,3112,32,32,26,768.93
467,98935.84,3114,305,146,543,1510.4
